text,lemmas,sent_len,punct_count,char_count,text_density,sw_count,cased_count,polarity,PRON,VERB,ADV,ADP,NOUN,ADJ,DET,CONJ,PRT,NUM,.,X
I am still waiting on my card?,I be still wait on my card,7,1,30,3.75,4,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What can I do if my card still hasn't arrived after 2 weeks?,that can I do if my card still have not arrive after week,13,2,60,4.285714285714286,8,1,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I have been waiting over a week. Is the card still coming?,I have be wait over a week be the card still come,12,2,58,4.461538461538462,7,1,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Can I track my card while it is in the process of delivery?,an I track my card while it be in the process of delivery,13,1,59,4.214285714285714,9,1,0.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"How do I know if I will get my card, or if it is lost?",now do I know if I will get my card or if it be lose,15,2,54,3.375,11,2,0.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
When did you send me my new card?,when do you send I my new card,8,1,33,3.6666666666666665,5,0,0.13636363636363635,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Do you have info about the card on delivery?,to you have into about the card on delivery,9,1,44,4.4,6,0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What do I do if I still have not received my new card?,that do I do if I still have not receive my new card,13,1,54,3.857142857142857,9,2,0.13636363636363635,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Does the package with my card have tracking?,do the package with my card have crack,8,1,44,4.888888888888889,5,0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I ordered my card but it still isn't here,I order my card but it still be not here,9,1,41,4.1,6,1,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Why has my new card still not come?,why have my new card still not come,8,1,35,3.888888888888889,4,0,0.13636363636363635,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I still haven't received my card after two weeks, is it lost?",I still have not receive my card after two week be it lose,12,3,61,4.6923076923076925,6,1,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Can you track my card for me?,an you track my card for I,7,1,29,3.625,4,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Is there a way to track the delivery of my card?,be there a way to track the delivery of my card,11,1,48,4.0,7,0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
It's been a week since I ordered my card and it's not here. Please help?,it be be a week since I order my card and it be not here please help,15,4,72,4.5,8,1,0.0,3.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Will I be able to track the card that was sent to me?,will I be able to track the card that be send to I,13,1,53,3.7857142857142856,8,1,0.5,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
I don't have my card in 1 week.  Should I be worried?,I do not have my card in week should I be worried,12,3,53,4.076923076923077,8,2,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How do I know when my new card is going to arrive?,now do I know when my new card be go to arrive,12,1,50,3.8461538461538463,7,1,0.13636363636363635,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
My new card has not been delivered to my home yet. What is going on?,by new card have not be deliver to my home yet that be go on,15,2,68,4.25,8,0,0.13636363636363635,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,it be be a week since you issue I a card and I still do not get it should I keep wait,20,4,93,4.428571428571429,11,2,0.0,5.0,6.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"On the card that is coming, what's the tracking info?",in the card that be come what be the cracking into,10,3,53,4.818181818181818,5,0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
What is the status of my card's delivery?,that be the status of my card 's delivery,8,2,41,4.555555555555555,5,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Have you sent out my card yet?,have you send out my card yet,7,1,30,3.75,4,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
My card isn't here yet.,by card be not here yet,5,2,23,3.8333333333333335,3,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
where is my new card?,where be my new card,5,1,21,3.5,3,0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
It's been a week since you sent my card and I still don't have it.,it be be a week since you send my card and I still do not have it,15,3,66,4.125,9,1,0.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How do I track the card you sent me?,now do I track the card you send I,9,1,36,3.6,5,1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
When will I recieve my new card?,when will I receive my new card,7,1,32,4.0,4,1,0.13636363636363635,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
When will I get my new card?,when will I get my new card,7,1,28,3.5,4,1,0.13636363636363635,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What is the expected delivery date for my card?,that be the expect delivery date for my card,9,1,47,4.7,5,0,-0.1,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Is there a tracking number for the card you sent me?,be there a crack number for the card you send I,11,1,52,4.333333333333333,6,0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
I would like to track the card you sent to me.,I would like to track the card you send to I,11,1,46,3.8333333333333335,5,1,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Has my card been lost in delivery?,be my card be lose in delivery,7,1,34,4.25,4,0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
My new card hasn't came in.,by new card have not come in,6,2,27,3.857142857142857,2,0,0.13636363636363635,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Where is the card I ordered 2 weeks ago?,there be the card I order week ago,9,1,40,4.0,4,1,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Can I get an update on my replacement card?,an I get an update on my replacement card,9,1,43,4.3,5,1,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
How long does it take for a new card to ship?,now long do it take for a new card to ship,11,1,45,3.75,6,0,0.043181818181818175,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What's the tracking on the card you sent?,that be the cracking on the card you send,8,2,41,4.555555555555555,4,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
I haven't received my card and am worried it is lost.,I have not receive my card and be worried it be lose,11,2,53,4.416666666666667,7,1,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
My card still hasn't been delivered,by card still have not be deliver,6,1,35,5.0,3,0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I need to find out where the card is that I ordered.,I need to find out where the card be that I order,12,1,52,4.0,8,2,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Where is my credit card that was to be mailed?,there be my credit card that be to be fail,10,1,46,4.181818181818182,7,0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I ordered my card but it hasn't been delivered yet,I order my card but it have not be deliver yet,10,1,50,4.545454545454546,6,1,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am I able to track the card that was just sent to me?,be I able to track the card that be just send to I,13,1,53,3.7857142857142856,8,1,0.5,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Can you tell me why I haven't received my new card?,an you tell I why I have not receive my new card,11,2,51,4.25,7,1,0.13636363636363635,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I'm still waiting for my new card.,I be still wait for my new card,7,2,34,4.25,2,0,0.13636363636363635,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Is my card lost? I am still waiting for it to be delivered.,be my card lose I be still wait for it to be deliver,13,2,59,4.214285714285714,8,1,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Should I keep waiting for my card to be delivered?,should I keep wait for my card to be deliver,10,1,50,4.545454545454546,6,1,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Can I track when my card will be delivered?,an I track when my card will be deliver,9,1,43,4.3,6,1,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How can I check on the status of my new card?,now can I check on the status of my new card,11,1,45,3.75,7,1,0.13636363636363635,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"A card has been sent to me, how do I track it?",a card have be send to I how do I track it,12,2,46,3.5384615384615383,7,2,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Is there a way I can get my card expedited?,be there a way I can get my card expedite,10,1,43,3.909090909090909,6,1,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
